"District","Income Streams","Cohort","Year","RTV","Control"
"Kanungu","Salaried Employment","2018","Base",9.66,11.2072072072072
"Kanungu","Self-Income / Business","2018","Base",155.18,32.5693693693694
"Kanungu","Casual Labour Income","2018","Base",0,97.6374774774775
"Kanungu","Remit and Gifts Income","2018","Base",0,5.06666666666667
"Kanungu","Rent Income","2018","Base",1.15,1.44144144144144
"Kanungu","Perennial Crop Income","2018","Base",0,0
"Kanungu","Seasonal Crop Income","2018","Base",88.33,108.204408072072
"Kanungu","Season1 Value","2018","Base",85.6,71.4825866666667
"Kanungu","Season2 Value","2018","Base",86.55,58.2983063063063
"Kanungu","Perennial Value","2018","Base",55.78,117.36400836036
"Kanungu","Annual Agric Value","2018","Base",227.93,247.144901333333
"Kanungu","Livestock Income","2018","Base",31.17,20.3661261261261
"Kanungu","Livestock Income/ Production","2018","Base",36.8,23.5517117117117
"Kanungu","Livestock Value","2018","Base",88.61,99.5113513513514
"Kanungu","PPI","2018","Base",27.31,30.02
"Kanungu","Salaried Employment","2019","Base",18.53,10.2043872126975
"Kanungu","Self-Income / Business","2019","Base",36.32,41.4647001572209
"Kanungu","Casual Labour Income","2019","Base",60.72,130.451448678595
"Kanungu","Remit and Gifts Income","2019","Base",6.14,4.97566818896459
"Kanungu","Rent Income","2019","Base",1.81,1.50108557310773
"Kanungu","Perennial Crop Income","2019","Base",80.17,44.7405405405405
"Kanungu","Seasonal Crop Income","2019","Base",52.16,94.3118589503631
"Kanungu","Season1 Value","2019","Base",77.38,82.8000524069776
"Kanungu","Season2 Value","2019","Base",71.96,78.2335479523845
"Kanungu","Perennial Value","2019","Base",95.46,162.786883282174
"Kanungu","Annual Agric Value","2019","Base",244.8,323.820483641536
"Kanungu","Livestock Income","2019","Base",22,36.2057370667066
"Kanungu","Livestock Income/ Production","2019","Base",26.16,41.8627027027027
"Kanungu","Livestock Value","2019","Base",86.26,169.101227820618
"Kanungu","PPI","2019","Base",31.23,27.09
"Rukungiri","Salaried Employment","2019","Base",20.42,10.2043872126975
"Rukungiri","Self-Income / Business","2019","Base",47.18,41.4647001572209
"Rukungiri","Casual Labour Income","2019","Base",47.22,130.451448678595
"Rukungiri","Remit and Gifts Income","2019","Base",5.47,4.97566818896459
"Rukungiri","Rent Income","2019","Base",0.86,1.50108557310773
"Rukungiri","Perennial Crop Income","2019","Base",85.92,44.7405405405405
"Rukungiri","Seasonal Crop Income","2019","Base",37.75,94.3118589503631
"Rukungiri","Season1 Value","2019","Base",67.3,82.8000524069776
"Rukungiri","Season2 Value","2019","Base",51.66,78.2335479523845
"Rukungiri","Perennial Value","2019","Base",168.23,162.786883282174
"Rukungiri","Annual Agric Value","2019","Base",287.19,323.820483641536
"Rukungiri","Livestock Income","2019","Base",19.42,36.2057370667066
"Rukungiri","Livestock Income/ Production","2019","Base",21.82,41.8627027027027
"Rukungiri","Livestock Value","2019","Base",95.81,169.101227820618
"Rukungiri","PPI","2019","Base",30.09,27.09
"Kanungu","Salaried Employment","2020","Base",22.35,18.5201595037661
"Kanungu","Self-Income / Business","2020","Base",57.71,23.1564761482794
"Kanungu","Casual Labour Income","2020","Base",81.5,109.947939743022
"Kanungu","Remit and Gifts Income","2020","Base",18.58,14.6411165263624
"Kanungu","Rent Income","2020","Base",5.71,8.05937084625609
"Kanungu","Perennial Crop Income","2020","Base",40.13,61.2816422980357
"Kanungu","Seasonal Crop Income","2020","Base",47.38,58.0029537734456
"Kanungu","Season1 Value","2020","Base",50.21,61.6609274848619
"Kanungu","Season2 Value","2020","Base",79.04,80.6434057007828
"Kanungu","Perennial Value","2020","Base",79.41,166.58733089647
"Kanungu","Annual Agric Value","2020","Base",208.66,308.891664082115
"Kanungu","Livestock Income","2020","Base",15.31,28.8015064244572
"Kanungu","Livestock Income/ Production","2020","Base",18.62,31.0308669325063
"Kanungu","Livestock Value","2020","Base",82.02,127.555752473785
"Kanungu","PPI","2020","Base",29.01,29.64
"Rukungiri","Salaried Employment","2020","Base",9.57,18.5201595037661
"Rukungiri","Self-Income / Business","2020","Base",42.42,23.1564761482794
"Rukungiri","Casual Labour Income","2020","Base",71.55,109.947939743022
"Rukungiri","Remit and Gifts Income","2020","Base",8.93,14.6411165263624
"Rukungiri","Rent Income","2020","Base",2.35,8.05937084625609
"Rukungiri","Perennial Crop Income","2020","Base",37.93,61.2816422980357
"Rukungiri","Seasonal Crop Income","2020","Base",17.18,58.0029537734456
"Rukungiri","Season1 Value","2020","Base",44.92,61.6609274848619
"Rukungiri","Season2 Value","2020","Base",71.51,80.6434057007828
"Rukungiri","Perennial Value","2020","Base",94.7,166.58733089647
"Rukungiri","Annual Agric Value","2020","Base",211.14,308.891664082115
"Rukungiri","Livestock Income","2020","Base",12.65,28.8015064244572
"Rukungiri","Livestock Income/ Production","2020","Base",14.58,31.0308669325063
"Rukungiri","Livestock Value","2020","Base",74,127.555752473785
"Rukungiri","PPI","2020","Base",31.67,29.64
"Mitooma","Salaried Employment","2020","Base",23.53,14.3511216599035
"Mitooma","Self-Income / Business","2020","Base",37.87,42.9798637164076
"Mitooma","Casual Labour Income","2020","Base",34.87,37.5527141872751
"Mitooma","Remit and Gifts Income","2020","Base",9.03,5.43603093178164
"Mitooma","Rent Income","2020","Base",2.53,0.976341780874359
"Mitooma","Perennial Crop Income","2020","Base",67.85,53.1724217134982
"Mitooma","Seasonal Crop Income","2020","Base",17.26,14.0872827501723
"Mitooma","Season1 Value","2020","Base",44.15,42.7828650179925
"Mitooma","Season2 Value","2020","Base",35.73,35.0254957507082
"Mitooma","Perennial Value","2020","Base",147.85,122.244851083378
"Mitooma","Annual Agric Value","2020","Base",227.73,200.053211852079
"Mitooma","Livestock Income","2020","Base",21.67,14.2018222188194
"Mitooma","Livestock Income/ Production","2020","Base",24.2,15.2584028787995
"Mitooma","Livestock Value","2020","Base",124.73,110.32156802695
"Mitooma","PPI","2020","Base",31.61,32.7
"Kagadi","Salaried Employment","2020","Base",0,14.3511216599035
"Kagadi","Self-Income / Business","2020","Base",9.83,42.9798637164076
"Kagadi","Casual Labour Income","2020","Base",68.27,37.5527141872751
"Kagadi","Remit and Gifts Income","2020","Base",0.99,5.43603093178164
"Kagadi","Rent Income","2020","Base",4.93,0.976341780874359
"Kagadi","Perennial Crop Income","2020","Base",35.38,53.1724217134982
"Kagadi","Seasonal Crop Income","2020","Base",129.66,14.0872827501723
"Kagadi","Season1 Value","2020","Base",131.47,42.7828650179925
"Kagadi","Season2 Value","2020","Base",104.92,35.0254957507082
"Kagadi","Perennial Value","2020","Base",61.8,122.244851083378
"Kagadi","Annual Agric Value","2020","Base",298.19,200.053211852079
"Kagadi","Livestock Income","2020","Base",7.44,14.2018222188194
"Kagadi","Livestock Income/ Production","2020","Base",10.69,15.2584028787995
"Kagadi","Livestock Value","2020","Base",53.51,110.32156802695
"Kagadi","PPI","2020","Base",30.82,32.7
"Kanungu","Salaried Employment","2021","Base",8.07,9.62399316473001
"Kanungu","Self-Income / Business","2021","Base",27.81,23.365003417635
"Kanungu","Casual Labour Income","2021","Base",47.41,122.262200956938
"Kanungu","Remit and Gifts Income","2021","Base",2.1,17.8755980861244
"Kanungu","Rent Income","2021","Base",1.75,2.12918660287081
"Kanungu","Perennial Crop Income","2021","Base",41.86,86.7786397812714
"Kanungu","Seasonal Crop Income","2021","Base",13.64,76.2917532467532
"Kanungu","Season1 Value","2021","Base",76.88,103.765345181135
"Kanungu","Season2 Value","2021","Base",28.09,68.5982467532468
"Kanungu","Perennial Value","2021","Base",62.1,182.726384142174
"Kanungu","Annual Agric Value","2021","Base",167.07,355.089976076555
"Kanungu","Livestock Income","2021","Base",9.76,32.2891326042379
"Kanungu","Livestock Income/ Production","2021","Base",15.13,37.3335618591934
"Kanungu","Livestock Value","2021","Base",71.56,190.199908407382
"Kanungu","PPI","2021","Base",29.05,29.96
"Rukungiri","Salaried Employment","2021","Base",21.92,9.62399316473001
"Rukungiri","Self-Income / Business","2021","Base",47.53,23.365003417635
"Rukungiri","Casual Labour Income","2021","Base",24.59,122.262200956938
"Rukungiri","Remit and Gifts Income","2021","Base",14.03,17.8755980861244
"Rukungiri","Rent Income","2021","Base",3.6,2.12918660287081
"Rukungiri","Perennial Crop Income","2021","Base",55.17,86.7786397812714
"Rukungiri","Seasonal Crop Income","2021","Base",42.67,76.2917532467532
"Rukungiri","Season1 Value","2021","Base",82.89,103.765345181135
"Rukungiri","Season2 Value","2021","Base",71.47,68.5982467532468
"Rukungiri","Perennial Value","2021","Base",152.99,182.726384142174
"Rukungiri","Annual Agric Value","2021","Base",307.35,355.089976076555
"Rukungiri","Livestock Income","2021","Base",17.75,32.2891326042379
"Rukungiri","Livestock Income/ Production","2021","Base",21.43,37.3335618591934
"Rukungiri","Livestock Value","2021","Base",147.08,190.199908407382
"Rukungiri","PPI","2021","Base",32.48,29.96
"Mitooma","Salaried Employment","2021","Base",9.8,28.408262454435
"Mitooma","Self-Income / Business","2021","Base",45.05,40.3797965630967
"Mitooma","Casual Labour Income","2021","Base",41.6,128.959455650061
"Mitooma","Remit and Gifts Income","2021","Base",5.38,7.46300989411561
"Mitooma","Rent Income","2021","Base",4.82,4.65474743968061
"Mitooma","Perennial Crop Income","2021","Base",33.49,94.1654053115779
"Mitooma","Seasonal Crop Income","2021","Base",35.13,18.702135045999
"Mitooma","Season1 Value","2021","Base",70.57,63.2962735636174
"Mitooma","Season2 Value","2021","Base",51.48,39.9880298559278
"Mitooma","Perennial Value","2021","Base",72.43,302.173607359833
"Mitooma","Annual Agric Value","2021","Base",194.48,405.457910779379
"Mitooma","Livestock Income","2021","Base",14.95,12.8949487936122
"Mitooma","Livestock Income/ Production","2021","Base",16.64,14.2669331713244
"Mitooma","Livestock Value","2021","Base",71.92,117.436382919632
"Mitooma","PPI","2021","Base",29.46,27.63
"Rubanda","Salaried Employment","2021","Base",7.25,5.637827
"Rubanda","Self-Income / Business","2021","Base",14.93,29.480282
"Rubanda","Casual Labour Income","2021","Base",55.89,85.656338
"Rubanda","Remit and Gifts Income","2021","Base",12.63,11.358551
"Rubanda","Rent Income","2021","Base",0.3,10.054728
"Rubanda","Perennial Crop Income","2021","Base",3.42,5.849688
"Rubanda","Seasonal Crop Income","2021","Base",77.32,50.843078
"Rubanda","Season1 Value","2021","Base",120.25,63.104829
"Rubanda","Season2 Value","2021","Base",98.67,63.30334
"Rubanda","Perennial Value","2021","Base",15.17,27.377284
"Rubanda","Annual Agric Value","2021","Base",234.08,153.785453
"Rubanda","Livestock Income","2021","Base",9.95,7.44974
"Rubanda","Livestock Income/ Production","2021","Base",11.64,8.64652
"Rubanda","Livestock Value","2021","Base",63.3,48.271242
"Rubanda","PPI","2021","Base",30.67,26.525634
"Kanungu","Salaried Employment","2022","Base",14.63,36.27
"Kanungu","Self-Income / Business","2022","Base",23.34,47.06
"Kanungu","Casual Labour Income","2022","Base",80.39,114.78
"Kanungu","Remit and Gifts Income","2022","Base",18.32,17.38
"Kanungu","Rent Income","2022","Base",7.99,3.93
"Kanungu","Perennial Crop Income","2022","Base",71.14,58.24
"Kanungu","Seasonal Crop Income","2022","Base",33.03,79.21
"Kanungu","Season1 Value","2022","Base",67.58,123.3
"Kanungu","Season2 Value","2022","Base",57.49,68.03
"Kanungu","Perennial Value","2022","Base",120.7,149.52
"Kanungu","Annual Agric Value","2022","Base",245.77,340.85
"Kanungu","Livestock Income","2022","Base",18.63,27.55
"Kanungu","Livestock Income/ Production","2022","Base",23.24,30.89
"Kanungu","Livestock Value","2022","Base",95.75,212.66
"Kanungu","PPI","2022","Base",31,29.73
"Rukungiri","Salaried Employment","2022","Base",9.85,36.27
"Rukungiri","Self-Income / Business","2022","Base",8.37,47.06
"Rukungiri","Casual Labour Income","2022","Base",52.02,114.78
"Rukungiri","Remit and Gifts Income","2022","Base",3.59,17.38
"Rukungiri","Rent Income","2022","Base",1.55,3.93
"Rukungiri","Perennial Crop Income","2022","Base",37.41,58.24
"Rukungiri","Seasonal Crop Income","2022","Base",25.54,79.21
"Rukungiri","Season1 Value","2022","Base",49.24,123.3
"Rukungiri","Season2 Value","2022","Base",40.89,68.03
"Rukungiri","Perennial Value","2022","Base",99.38,149.52
"Rukungiri","Annual Agric Value","2022","Base",189.5,340.85
"Rukungiri","Livestock Income","2022","Base",9.68,27.55
"Rukungiri","Livestock Income/ Production","2022","Base",10.78,30.89
"Rukungiri","Livestock Value","2022","Base",135.61,212.66
"Rukungiri","PPI","2022","Base",32.81,29.73
"Mitooma","Salaried Employment","2022","Base",4.32,46.58
"Mitooma","Self-Income / Business","2022","Base",26.44,73.93
"Mitooma","Casual Labour Income","2022","Base",50.56,104.25
"Mitooma","Remit and Gifts Income","2022","Base",3.92,34.84
"Mitooma","Rent Income","2022","Base",3.2,3.18
"Mitooma","Perennial Crop Income","2022","Base",55.64,74.68
"Mitooma","Seasonal Crop Income","2022","Base",15.46,28.11
"Mitooma","Season1 Value","2022","Base",46.18,60.3
"Mitooma","Season2 Value","2022","Base",39.27,46.26
"Mitooma","Perennial Value","2022","Base",139.94,226.06
"Mitooma","Annual Agric Value","2022","Base",225.4,332.61
"Mitooma","Livestock Income","2022","Base",11.88,14.32
"Mitooma","Livestock Income/ Production","2022","Base",14.54,15.68
"Mitooma","Livestock Value","2022","Base",97.9,108.41
"Mitooma","PPI","2022","Base",30.68,26.14
"Rubanda","Salaried Employment","2022","Base",28.06,23.156283
"Rubanda","Self-Income / Business","2022","Base",21.84,16.987185
"Rubanda","Casual Labour Income","2022","Base",76.01,87.977754
"Rubanda","Remit and Gifts Income","2022","Base",11.31,15.257919
"Rubanda","Rent Income","2022","Base",2.41,6.778432
"Rubanda","Perennial Crop Income","2022","Base",12.31,8.011606
"Rubanda","Seasonal Crop Income","2022","Base",92.11,63.29161
"Rubanda","Season1 Value","2022","Base",120.5,129.452617
"Rubanda","Season2 Value","2022","Base",111.64,119.184855
"Rubanda","Perennial Value","2022","Base",39.79,9.786008
"Rubanda","Annual Agric Value","2022","Base",271.93,258.423481
"Rubanda","Livestock Income","2022","Base",11.68,1.8145
"Rubanda","Livestock Income/ Production","2022","Base",12.07,2.080078
"Rubanda","Livestock Value","2022","Base",111.75,58.658822
"Rubanda","PPI","2022","Base",28.47,26.010413
"Rubirizi","Salaried Employment","2022","Base",8.26,46.58
"Rubirizi","Self-Income / Business","2022","Base",24.63,73.93
"Rubirizi","Casual Labour Income","2022","Base",67.61,104.25
"Rubirizi","Remit and Gifts Income","2022","Base",5.91,34.84
"Rubirizi","Rent Income","2022","Base",2.9,3.18
"Rubirizi","Perennial Crop Income","2022","Base",61.73,74.68
"Rubirizi","Seasonal Crop Income","2022","Base",56.97,28.11
"Rubirizi","Season1 Value","2022","Base",64.19,60.3
"Rubirizi","Season2 Value","2022","Base",63.44,46.26
"Rubirizi","Perennial Value","2022","Base",158.16,226.06
"Rubirizi","Annual Agric Value","2022","Base",285.79,332.61
"Rubirizi","Livestock Income","2022","Base",6.71,14.32
"Rubirizi","Livestock Income/ Production","2022","Base",7.42,15.68
"Rubirizi","Livestock Value","2022","Base",76.28,108.41
"Rubirizi","PPI","2022","Base",26.69,26.14
"Kyenjojo","Salaried Employment","2022","Base",7.22,6.0520643
"Kyenjojo","Self-Income / Business","2022","Base",17.63,18.1036865
"Kyenjojo","Casual Labour Income","2022","Base",66.91,56.9568341
"Kyenjojo","Remit and Gifts Income","2022","Base",6.03,6.4102139
"Kyenjojo","Rent Income","2022","Base",4.35,10.0259769
"Kyenjojo","Perennial Crop Income","2022","Base",21.57,23.5729288
"Kyenjojo","Seasonal Crop Income","2022","Base",97.1,89.0923882
"Kyenjojo","Season1 Value","2022","Base",121.3,77.2808849
"Kyenjojo","Season2 Value","2022","Base",79.23,66.6583624
"Kyenjojo","Perennial Value","2022","Base",40.08,56.9354446
"Kyenjojo","Annual Agric Value","2022","Base",240.62,200.8746919
"Kyenjojo","Livestock Income","2022","Base",12.05,14.98259
"Kyenjojo","Livestock Income/ Production","2022","Base",13.91,20.576466
"Kyenjojo","Livestock Value","2022","Base",99.26,69.7750511
"Kyenjojo","PPI","2022","Base",29.16,29.2678937
"Kagadi GAC","Salaried Employment","2022","Base",2.64,6.0520643
"Kagadi GAC","Self-Income / Business","2022","Base",20.6,18.1036865
"Kagadi GAC","Casual Labour Income","2022","Base",44.54,56.9568341
"Kagadi GAC","Remit and Gifts Income","2022","Base",6.34,6.4102139
"Kagadi GAC","Rent Income","2022","Base",4.86,10.0259769
"Kagadi GAC","Perennial Crop Income","2022","Base",19.73,23.5729288
"Kagadi GAC","Seasonal Crop Income","2022","Base",132.51,89.0923882
"Kagadi GAC","Season1 Value","2022","Base",125.94,77.2808849
"Kagadi GAC","Season2 Value","2022","Base",85.99,66.6583624
"Kagadi GAC","Perennial Value","2022","Base",37.29,56.9354446
"Kagadi GAC","Annual Agric Value","2022","Base",249.22,200.8746919
"Kagadi GAC","Livestock Income","2022","Base",15.67,14.98259
"Kagadi GAC","Livestock Income/ Production","2022","Base",17.99,20.576466
"Kagadi GAC","Livestock Value","2022","Base",97.48,69.7750511
"Kagadi GAC","PPI","2022","Base",30.43,29.2678937
"Kagadi NonGAC","Salaried Employment","2022","Base",4.25,6.0520643
"Kagadi NonGAC","Self-Income / Business","2022","Base",9.51,18.1036865
"Kagadi NonGAC","Casual Labour Income","2022","Base",71.48,56.9568341
"Kagadi NonGAC","Remit and Gifts Income","2022","Base",4.87,6.4102139
"Kagadi NonGAC","Rent Income","2022","Base",4.74,10.0259769
"Kagadi NonGAC","Perennial Crop Income","2022","Base",25.12,23.5729288
"Kagadi NonGAC","Seasonal Crop Income","2022","Base",79.8,89.0923882
"Kagadi NonGAC","Season1 Value","2022","Base",78.94,77.2808849
"Kagadi NonGAC","Season2 Value","2022","Base",67.33,66.6583624
"Kagadi NonGAC","Perennial Value","2022","Base",53.23,56.9354446
"Kagadi NonGAC","Annual Agric Value","2022","Base",199.5,200.8746919
"Kagadi NonGAC","Livestock Income","2022","Base",9.96,14.98259
"Kagadi NonGAC","Livestock Income/ Production","2022","Base",11.73,20.576466
"Kagadi NonGAC","Livestock Value","2022","Base",68.59,69.7750511
"Kagadi NonGAC","PPI","2022","Base",29.55,29.2678937
"Kaliro","Salaried Employment","2022","Base",8.01,6.99791232
"Kaliro","Self-Income / Business","2022","Base",25.74,18.93615634
"Kaliro","Casual Labour Income","2022","Base",84.9,45.37351
"Kaliro","Remit and Gifts Income","2022","Base",8.1,2.20729462
"Kaliro","Rent Income","2022","Base",3.66,2.58291
"Kaliro","Perennial Crop Income","2022","Base",3.49,1.894053
"Kaliro","Seasonal Crop Income","2022","Base",51.75,49.91061714
"Kaliro","Season1 Value","2022","Base",107,98.80513499
"Kaliro","Season2 Value","2022","Base",40.32,37.25976113
"Kaliro","Perennial Value","2022","Base",15.78,10.67837683
"Kaliro","Annual Agric Value","2022","Base",163.1,146.74327294
"Kaliro","Livestock Income","2022","Base",4.84,6.55959808
"Kaliro","Livestock Income/ Production","2022","Base",5.64,7.88968739
"Kaliro","Livestock Value","2022","Base",129.48,167.02643847
"Kaliro","PPI","2022","Base",33.33,33.41471816
"Kanungu","Salaried Employment","2018","Year 1",23.2,10.2043872126975
"Kanungu","Self-Income / Business","2018","Year 1",49.05,41.4647001572209
"Kanungu","Casual Labour Income","2018","Year 1",157.83,130.451448678595
"Kanungu","Remit and Gifts Income","2018","Year 1",20.58,4.97566818896459
"Kanungu","Rent Income","2018","Year 1",10.43,1.50108557310773
"Kanungu","Perennial Crop Income","2018","Year 1",70.78,44.7405405405405
"Kanungu","Seasonal Crop Income","2018","Year 1",89.8,94.3118589503631
"Kanungu","Season1 Value","2018","Year 1",102.89,82.8000524069776
